/opt/anaconda3/lib/python3.12/site-packages/geppy/__init__.py:26: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import get_distribution, DistributionNotFound
hff library OK (test fitness: (0.1415394733244273,))
registry: ['circle_area', 'gravity', 'coulomb', 'pendulum', 'keplers3', 'ideal_gas', 'I_6_2a', 'I_6_2', 'I_6_2b', 'I_8_14', 'I_9_18', 'I_10_7', 'I_11_19', 'I_12_1', 'I_12_2', 'I_12_4', 'I_12_5', 'I_12_11', 'I_13_4', 'I_13_12', 'I_14_3', 'I_14_4', 'I_15_3x', 'I_15_3t', 'I_15_1', 'I_16_6', 'I_18_4', 'I_18_12', 'I_18_14', 'I_24_6', 'I_25_13', 'I_26_2', 'I_27_6', 'I_29_4', 'I_29_16', 'I_30_3', 'I_30_5', 'I_32_5', 'I_32_17', 'I_34_8', 'I_34_1', 'I_34_14', 'I_34_27', 'I_37_4', 'I_38_12', 'I_39_1', 'I_39_11', 'I_39_22', 'I_40_1', 'I_41_16', 'I_43_16', 'I_43_31', 'I_43_43', 'I_44_4', 'I_47_23', 'I_48_2', 'I_50_26', 'II_2_42', 'II_3_24', 'II_4_23', 'II_6_11', 'II_6_15a', 'II_6_15b', 'II_8_7', 'II_8_31', 'II_10_9', 'II_11_3', 'II_11_17', 'II_11_20', 'II_11_27', 'II_11_28', 'II_13_17', 'II_13_23', 'II_13_34', 'II_15_4', 'II_15_5', 'II_21_32', 'II_24_17', 'II_27_16', 'II_27_18', 'II_34_2a', 'II_34_2', 'II_34_11', 'II_34_29a', 'II_34_29b', 'II_35_18', 'II_35_21', 'II_36_38', 'II_37_1', 'II_38_3', 'II_38_14', 'III_4_32', 'III_4_33', 'III_7_38', 'III_8_54', 'III_9_52', 'III_10_19', 'III_12_43', 'III_13_18', 'III_14_14', 'III_15_12', 'III_15_14', 'III_15_27', 'III_17_37', 'III_19_51', 'III_21_20', 'test_1', 'test_2', 'test_3', 'test_4', 'test_5', 'test_6', 'test_7', 'test_8', 'test_9', 'test_10', 'test_11', 'test_12', 'test_13', 'test_14', 'test_15', 'test_16', 'test_17', 'test_18', 'test_19', 'test_20']
[feynman override] head_length=48 (keep n_genes=3, avgval linker)
Selected problem: I_27_6
  Description : Feynman I-III I.27.6: foc = 1/(1/d1+n/d2)
  Variables   : ['d1', 'd2', 'n']
  Train range : {'d1': (1.0, 5.0), 'd2': (1.0, 5.0), 'n': (1.0, 5.0)}
  Extrap range: {'d1': (1.0, 7.5), 'd2': (1.0, 7.5), 'n': (1.0, 7.5)}
  Truth       : 1/(1/d1+n/d2)
  ✓ cache hit  (data/equations/I_27_6, key=b2f003d6b788f0e3)
  train           (800, 4)  target range=[0.2002, 2.21]
  val             (200, 4)  target range=[0.2066, 2.122]
  holdout         (200, 4)  target range=[0.2076, 2.128]
  extrapolation   (200, 4)  target range=[0.165, 2.598]
  saved figure → data/figures/I_27_6/eda_pairplot.png
Wide primitive set enabled: sin, cos, exp, log added.
[E22 rules] variable pattern tags: {'paired_numbered'}
[E22/23 rules] static candidate count: 3
[E22/23 rules] allowed to take a fitness slot (exact): 0
  [sum_sq_all/sum_sq] a=0.0051 b=6.4029e-01 1-R²_va=1.0049e+00
  [prefix_sum_sq/d1^2+d2^2] a=0.0228 b=3.1586e-01 1-R²_va=6.0696e-01
  [harmonic/1/(1/d1+1/d2)] a=0.5471 b=2.9655e-02 1-R²_va=5.8361e-01
[fuller] gene operators ACTIVE (denoise=0.2 physics=0.2 snap=1.0 concretize=0.05)
Wrapper scope: per_island  (island → wrapper map: ['identity', 'identity'])
Genes: head_length=48, n_genes=3, rnc_array_length=10
Population: (per-island, see below), elites: 2, generations: 400, migration FREQ: 30
  pump per-island sizes: intake=100 (tournsize=8), champion=50 (tournsize=5)
Initialising evolution at 2026-09-19 06:38:37.607630
 gen  deme   evals     min fitness          mse_tr          mse_va         max_err      mse_extrap  one_minus_r2_tr  one_minus_r2_va
  25     1      50               0    0.0190150547    0.0148870422     0.505133831    0.0460076726     0.144095714      0.13755788
  26     0     100               0    0.0252539009    0.0200469453     0.536005269    0.0611053349     0.191373569     0.185235942
  26     1      50               0    0.0190150547    0.0148870422     0.505133831    0.0460076726     0.144095714      0.13755788
  27     0     100               0    0.0252539009    0.0200469453     0.536005269    0.0611053349     0.191373569     0.185235942
  27     1      50               0    0.0190150547    0.0148870422     0.505133831    0.0460076726     0.144095714      0.13755788
  28     0     100               0    0.0252539009    0.0200469453     0.536005269    0.0611053349     0.191373569     0.185235942
  28     1      50               0    0.0190150547    0.0148870422     0.505133831    0.0460076726     0.144095714      0.13755788
  29     0     100               0    0.0252539009    0.0200469453     0.536005269    0.0611053349     0.191373569     0.185235942
  29     1      50               0    0.0190150547    0.0148870422     0.505133831    0.0460076726     0.144095714      0.13755788
  30     0     100               0    0.0252539009    0.0200469453     0.536005269    0.0611053349     0.191373569     0.185235942
  30     1      50               0    0.0190150547    0.0148870422     0.505133831    0.0460076726     0.144095714      0.13755788
--------- pump migration: intra (promote-2 + intake-reset) ---------
  31     0     100               0    0.0252539009    0.0200469453     0.536005269    0.0611053349     0.191373569     0.185235942
  31     1      50               0    0.0252539009    0.0200469453     0.536005269    0.0611053349     0.191373569     0.185235942
  32     0     100               0    0.0252539009    0.0200469453     0.536005269    0.0611053349     0.191373569     0.185235942
  32     1      50               0    0.0252539009    0.0200469453     0.536005269    0.0611053349     0.191373569     0.185235942
  33     0     100               0    0.0252539009    0.0200469453     0.536005269    0.0611053349     0.191373569     0.185235942
  33     1      50               0    0.0252539009    0.0200469453     0.536005269    0.0611053349     0.191373569     0.185235942
  34     0     100               0    0.0252539009    0.0200469453     0.536005269    0.0611053349     0.191373569     0.185235942
  34     1      50               0    0.0252539009    0.0200469453     0.536005269    0.0611053349     0.191373569     0.185235942
  35     0     100               0    0.0252539009    0.0200469453     0.536005269    0.0611053349     0.191373569     0.185235942
  35     1      50               0    0.0252539009    0.0200469453     0.536005269    0.0611053349     0.191373569     0.185235942
  36     0     100               0    0.0252539009    0.0200469453     0.536005269    0.0611053349     0.191373569     0.185235942
  36     1      50               0    0.0252539009    0.0200469453     0.536005269    0.0611053349     0.191373569     0.185235942
  37     0     100               0    0.0252539009    0.0200469453     0.536005269    0.0611053349     0.191373569     0.185235942
  37     1      50               0    0.0252539009    0.0200469453     0.536005269    0.0611053349     0.191373569     0.185235942
  38     0     100               0    0.0252539009    0.0200469453     0.536005269    0.0611053349     0.191373569     0.185235942
  38     1      50               0    0.0252539009    0.0200469453     0.536005269    0.0611053349     0.191373569     0.185235942
  39     0     100               0    0.0252539009    0.0200469453     0.536005269    0.0611053349     0.191373569     0.185235942
  39     1      50               0    0.0252539009    0.0200469453     0.536005269    0.0611053349     0.191373569     0.185235942
  40     0     100               0    0.0252539009    0.0200469453     0.536005269    0.0611053349     0.191373569     0.185235942
  40     1      50               0    0.0252539009    0.0200469453     0.536005269    0.0611053349     0.191373569     0.185235942
--------- pump migration: intra (promote-2 + intake-reset) ---------
  41     0     100               0    0.0252539009    0.0200469453     0.536005269    0.0611053349     0.191373569     0.185235942
  41     1      50               0    0.0252539009    0.0200469453     0.536005269    0.0611053349     0.191373569     0.185235942
  42     0     100               0    0.0252539009    0.0200469453     0.536005269    0.0611053349     0.191373569     0.185235942
  42     1      50               0    0.0252539009    0.0200469453     0.536005269    0.0611053349     0.191373569     0.185235942
  43     0     100               0    0.0252539009    0.0200469453     0.536005269    0.0611053349     0.191373569     0.185235942
  43     1      50               0    0.0252539009    0.0200469453     0.536005269    0.0611053349     0.191373569     0.185235942
  44     0     100               0    0.0252539009    0.0200469453     0.536005269    0.0611053349     0.191373569     0.185235942
  44     1      50               0    0.0252539009    0.0200469453     0.536005269    0.0611053349     0.191373569     0.185235942
  45     0     100               0    0.0252539009    0.0200469453     0.536005269    0.0611053349     0.191373569     0.185235942
  45     1      50               0    0.0252539009    0.0200469453     0.536005269    0.0611053349     0.191373569     0.185235942
  46     0     100               0    0.0252539009    0.0200469453     0.536005269    0.0611053349     0.191373569     0.185235942
  46     1      50               0    0.0208515681    0.0164947489     0.495825337    0.0454749337     0.158012777     0.152413263
  47     0     100               0    0.0252539009    0.0200469453     0.536005269    0.0611053349     0.191373569     0.185235942
  47     1      50               0    0.0252539009    0.0200469453     0.536005269    0.0611053349     0.191373569     0.185235942
  48     0     100               0    0.0252539009    0.0200469453     0.536005269    0.0611053349     0.191373569     0.185235942
  48     1      50               0    0.0208515681    0.0164947489     0.495825337    0.0454749337     0.158012777     0.152413263
  49     0     100               0    0.0252539009    0.0200469453     0.536005269    0.0611053349     0.191373569     0.185235942
  49     1      50               0    0.0208515681    0.0164947489     0.495825337    0.0454749337     0.158012777     0.152413263
  50     0     100               0    0.0252539009    0.0200469453     0.536005269    0.0611053349     0.191373569     0.185235942
  50     1      50               0    0.0208515681    0.0164947489     0.495825337    0.0454749337     0.158012777     0.152413263
--------- pump migration: intra (promote-2 + intake-reset) ---------
  51     0     100               0    0.0252539009    0.0200469453     0.536005269    0.0611053349     0.191373569     0.185235942
  51     1      50               0    0.0252539009    0.0200469453     0.536005269    0.0611053349     0.191373569     0.185235942
  52     0     100               0   0.00832697881   0.00647206103     0.273633663    0.0585379879    0.0631016832    0.0598025437
  52     1      50               0    0.0252539009    0.0200469453     0.536005269    0.0611053349     0.191373569     0.185235942
  53     0     100               0   0.00832697881   0.00647206103     0.273633663    0.0585379879    0.0631016832    0.0598025437
  53     1      50               0    0.0252539009    0.0200469453     0.536005269    0.0611053349     0.191373569     0.185235942
  54     0     100               0   0.00832697881   0.00647206103     0.273633663    0.0585379879    0.0631016832    0.0598025437
  54     1      50               0    0.0252539009    0.0200469453     0.536005269    0.0611053349     0.191373569     0.185235942
  55     0     100               0   0.00832697881   0.00647206103     0.273633663    0.0585379879    0.0631016832    0.0598025437
  55     1      50               0    0.0252539009    0.0200469453     0.536005269    0.0611053349     0.191373569     0.185235942
  56     0     100               0   0.00832697881   0.00647206103     0.273633663    0.0585379879    0.0631016832    0.0598025437
  56     1      50               0    0.0252539009    0.0200469453     0.536005269    0.0611053349     0.191373569     0.185235942
  57     0     100               0   0.00832697881   0.00647206103     0.273633663    0.0585379879    0.0631016832    0.0598025437
  57     1      50               0    0.0252539009    0.0200469453     0.536005269    0.0611053349     0.191373569     0.185235942
  58     0     100               0   0.00832697881   0.00647206103     0.273633663    0.0585379879    0.0631016832    0.0598025437
  58     1      50               0    0.0252539009    0.0200469453     0.536005269    0.0611053349     0.191373569     0.185235942
  59     0     100               0   0.00832697881   0.00647206103     0.273633663    0.0585379879    0.0631016832    0.0598025437
  59     1      50               0    0.0252539009    0.0200469453     0.536005269    0.0611053349     0.191373569     0.185235942
  60     0     100               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  60     1      50               0    0.0252539009    0.0200469453     0.536005269    0.0611053349     0.191373569     0.185235942
--------- pump migration: intra (promote-2 + intake-reset) + cross ---------
  61     0     100               0   0.00832697881   0.00647206103     0.273633663    0.0585379879    0.0631016832    0.0598025437
  61     1      50               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  62     0     100               0   0.00832697881   0.00647206103     0.273633663    0.0585379879    0.0631016832    0.0598025437
  62     1      50               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  63     0     100               0   0.00832697881   0.00647206103     0.273633663    0.0585379879    0.0631016832    0.0598025437
  63     1      50               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  64     0     100               0   0.00832697881   0.00647206103     0.273633663    0.0585379879    0.0631016832    0.0598025437
  64     1      50               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  65     0     100               0   0.00832697881   0.00647206103     0.273633663    0.0585379879    0.0631016832    0.0598025437
  65     1      50               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  66     0     100               0   0.00832697881   0.00647206103     0.273633663    0.0585379879    0.0631016832    0.0598025437
  66     1      50               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  67     0     100               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  67     1      50               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  68     0     100               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  68     1      50               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  69     0     100               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  69     1      50               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  70     0     100               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  70     1      50               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
--------- pump migration: intra (promote-2 + intake-reset) ---------
  71     0     100               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  71     1      50               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  72     0     100               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  72     1      50               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  73     0     100               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  73     1      50               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  74     0     100               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  74     1      50               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  75     0     100               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  75     1      50               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  76     0     100               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  76     1      50               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  77     0     100               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  77     1      50               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  78     0     100               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  78     1      50               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  79     0     100               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  79     1      50               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  80     0     100               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  80     1      50               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
--------- pump migration: intra (promote-2 + intake-reset) ---------
  81     0     100               0   0.00460675809   0.00389036664     0.169403221    0.0288041946    0.0349099231    0.0359474084
  81     1      50               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  82     0     100               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  82     1      50               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  83     0     100               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  83     1      50               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  84     0     100               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  84     1      50               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  85     0     100               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  85     1      50               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  86     0     100               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  86     1      50               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  87     0     100               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  87     1      50               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  88     0     100               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  88     1      50               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  89     0     100               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  89     1      50               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  90     0     100               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  90     1      50               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
--------- pump migration: intra (promote-2 + intake-reset) + cross ---------
  91     0     100               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  91     1      50               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  92     0     100               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  92     1      50               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  93     0     100               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  93     1      50               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  94     0     100               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  94     1      50               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  95     0     100               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  95     1      50               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  96     0     100               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  96     1      50               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  97     0     100               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
  97     1      50               0   0.00464163929   0.00397446553     0.185284551    0.0280660209    0.0351742521    0.0367244912
